state_slug,state_name,state_code,source_id,retrieved_at
aguascalientes,AGUASCALIENTES,1,1300-01,2026-04-18T16:59:52.730Z
baja california,BAJA CALIFORNIA,2,1236-10,2026-04-18T16:59:52.730Z
baja california sur,BAJA CALIFORNIA SUR,3,1095-07,2026-04-18T16:59:52.730Z
campeche,CAMPECHE,4,1297-21,2026-04-18T16:59:52.730Z
chiapas,CHIAPAS,7,1319-01,2026-04-18T16:59:52.730Z
chihuahua,CHIHUAHUA,8,1287-04,2026-04-18T16:59:52.730Z
coahuila,COAHUILA,5,1258-09,2026-04-18T16:59:52.730Z
colima,COLIMA,6,1288-01,2026-04-18T16:59:52.730Z
distrito federal,DISTRITO FEDERAL,9,1303-02,2026-04-18T16:59:52.730Z
durango,DURANGO,10,1314-24,2026-04-18T16:59:52.730Z
guanajuato,GUANAJUATO,11,1204-06,2026-04-18T16:59:52.730Z
guerrero,GUERRERO,12,1323-15,2026-04-18T16:59:52.730Z
hidalgo,HIDALGO,13,1283-12,2026-04-18T16:59:52.730Z
jalisco,JALISCO,14,1321-07,2026-04-18T16:59:52.730Z
mexico,MEXICO,15,1303-01,2026-04-18T16:59:52.730Z
michoacan,MICHOACAN,16,1324-06,2026-04-18T16:59:52.730Z
morelos,MORELOS,17,1316-01,2026-04-18T16:59:52.730Z
nayarit,NAYARIT,18,1215-08,2026-04-18T16:59:52.730Z
nuevo leon,NUEVO LEON,19,0817-01,2026-04-18T16:59:52.730Z
oaxaca,OAXACA,20,1311-06,2026-04-18T16:59:52.730Z
puebla,PUEBLA,21,1317-01,2026-04-18T16:59:52.730Z
queretaro,QUERETARO,22,1290-01,2026-04-18T16:59:52.730Z
quintana roo,QUINTANA ROO,23,1279-09,2026-04-18T16:59:52.730Z
san luis potosi,SAN LUIS POTOSI,24,1169-03,2026-04-18T16:59:52.730Z
sinaloa,SINALOA,25,1292-01,2026-04-18T16:59:52.730Z
sonora,SONORA,26,1109-01,2026-04-18T16:59:52.730Z
tabasco,TABASCO,27,1319-02,2026-04-18T16:59:52.730Z
tamaulipas,TAMAULIPAS,28,1286-01,2026-04-18T16:59:52.730Z
tlaxcala,TLAXCALA,29,1304-02,2026-04-18T16:59:52.730Z
veracruz,VERACRUZ,30,1302-13,2026-04-18T16:59:52.730Z
yucatan,YUCATAN,31,1310-01,2026-04-18T16:59:52.730Z
zacatecas,ZACATECAS,32,1314-15,2026-04-18T16:59:52.730Z