carretera_id,state_slug,carretera,clave_carretera,ruta,station_count
1,aguascalientes,Aguascalientes - Ent. Cd. de Los Niños,01130,AGS,3
2,aguascalientes,Aguascalientes - Jalpa,00095,MEX-070,20
3,aguascalientes,Aguascalientes - Jesús María,01112,AGS-095,7
4,aguascalientes,Aguascalientes - José María Morelos,01131,AGS,3
5,aguascalientes,Ent. La Calavera - Ent. San Pedro,01102,AGS-043,7
6,aguascalientes,Ent. Pabellón de Arteaga - San José de Gracia,01031,AGS-019,6
7,aguascalientes,Carboneras - Villa Juárez,01111,AGS-004,3
8,aguascalientes,Est. Coyotes - Ent. San Bartolo,01134,AGS-069,2
9,aguascalientes,Fracc. Ojo Caliente - El Conejal,01129,AGS-079,5
10,aguascalientes,Aguascalientes - Zacatecas,00524,MEX-045,45
11,aguascalientes,Jesús María - Palomas,01018,AGS-018,4
12,aguascalientes,Ent. Pabellón de Arteaga - California,01137,AGS,6
13,aguascalientes,Libramiento Surponiente de Aguascalientes,00167,MEX-045,3
14,aguascalientes,Providencia - Luis Moya,00112,MEX-071,8
15,aguascalientes,Pilotos - Los Campos,00007,AGS-030,3
16,aguascalientes,Acceso a Pabellón de Arteaga,01113,MEX-045,7
17,aguascalientes,Ent. Penitenciaría - Villa Hidalgo,00120,MEX-071,6
18,aguascalientes,Ent. San Carlos - Ent. El Milagro,01141,AGS-010,2
19,aguascalientes,Ent. Rivier - San Marcos,00285,MEX-066,9
20,aguascalientes,La Panadera - Palo Alto,01105,AGS-017,4
21,aguascalientes,Ent. Rincón de Romos - La Boquilla,01139,AGS,2
22,aguascalientes,Ent. El Novillo - Villa Juárez,01103,AGS-005,2
23,aguascalientes,El Retoño - Ent. Asturias,01124,MEX-070,2
24,aguascalientes,Libramiento de Calvillo, ,MEX-070,3
25,aguascalientes,La Rinconada - El Terrero del Refugio,01133,AGS-007,2
26,aguascalientes,La Punta - Mesillas,01104,AGS-026,3
27,aguascalientes,Libramiento Rincón de Romos,00167,MEX-045,2
28,aguascalientes,Las Norias de Ojo Caliente - La Luz,01122,AGS-068,3
29,aguascalientes,Rincón de Romos - Ciénega Grande,01002,MEX-039,5
30,aguascalientes,Ojuelos - Aguascalientes,00094,MEX-070,15
31,aguascalientes,Libramiento Poniente de Aguascalientes (Cuota), ,AGS-D,3
32,aguascalientes,San Gil - Jarillas,00527,AGS-012-ZAC,5
33,aguascalientes,Ojo Caliente - Malpaso,01123,MEX-070,2
34,aguascalientes,San Isidro El Grande - Bajío de San José,00526,AGS-036,4
35,aguascalientes,Ent. Buenavista - Gracias a Dios,01138,AGS,2
36,aguascalientes,Ent. Arellano - El Retoño,01121,AGS,4
37,aguascalientes,Ent. Cosío - Ent. Cuauhtémoc,00579,MEX-045,3
38,aguascalientes,Crucero Ojo de Agua de Crucitas - Santa Rosa,01140,AGS,2
39,aguascalientes,Ent. La Chirida - San Francisco de Los Romo,01016,AGS,2
40,aguascalientes,Cosío - Santa María de La Paz,01132,AGS,2
41,aguascalientes,Ent. San Felipe - Jesús María,01144,AGS,2
42,aguascalientes,El Taray - T. C.(Ramal Aeropuerto de Aguascalientes),01121,AGS-002,3
43,aguascalientes,Ent. San Isidro - Ent. El Salitre,01142,AGS-016,2
44,aguascalientes,León - Aguascalientes,00167,MEX-045,36
45,aguascalientes,Pabellón de Hidalgo - Rincón de Romos,01136,AGS,2
46,aguascalientes,El Tanque - San José de La Ordeña,01143,AGS,2
47,aguascalientes,Ramal a Aeropuerto de Aguascalientes,01116,MEX-045,3
48,aguascalientes,Ramal a San Pedro Piedra Gorda,00553,ZAC-AGS,4
49,aguascalientes,Libramiento San Francisco de Los Romo,01137,AGS,4
50,aguascalientes,Pocitos - Granja Miravalle,01109,AGS-053,4
51,aguascalientes,San Rafael - Villa García,00525,AGS-ZAC,3
52,aguascalientes,Viñedos de California - Adolfo López Mateos,01137,AGS,2
53,aguascalientes,Santa Rosa - Pabellón de Hidalgo,01135,AGS,2
54,aguascalientes,T. Caldera - Ent. Ojo de Agua de Los Montes,01137,AGS,6
55,baja california,Ensenada - El Chinero,02009,MEX-003,10
56,baja california,Corredor Tijuana 2000,02006,BC,6
57,baja california,Ejido Monterrey - Mazón,02004,BC-003,5
58,baja california,Ensenada - Lázaro Cárdenas,02098,MEX-001,21
59,baja california,Algodones - Ent. Islas Agrarias Grupo B,02006,BC-008,5
60,baja california,Ent. Punta Prieta - Bahía de Los Ángeles,02322,MEX-001,2
61,baja california,La Puerta - T. C. (Mexicali - Estación Coahuila),02502,BC-010,4
62,baja california,Lázaro Cárdenas - Ent. Punta Prieta,02319,MEX-001,10
63,baja california,Ent. Punta Prieta - Guerrero Negro,00321,MEX-001,5
64,baja california,Libramiento de Mexicali (Cuota),02319,MEX-002D,2
65,baja california,Mexicali - Algodones,02012,BC-002,12
66,baja california,Mexicali - Progreso,02507,BC-005,2
67,baja california,Mexicali - Estación Coahuila,02016,BC-001,13
68,baja california,San Felipe - Chapala,02503,MEX-005,4
69,baja california,Mexicali - San Felipe,02096,MEX-005,11
70,baja california,Mexicali - Tijuana,02082,MEX-002D-MEX,13
71,baja california,El Centinela - La Rumorosa (Cuota),02011,MEX-002D,5
72,baja california,Sonoita - Mexicali,263,MEX-002,21
73,baja california,Ejido Benito Juárez - Ejido Chiapas,02501,BC-061,3
74,baja california,El Faro - Estación Coahuila,02013,BC-004,6
75,baja california,Libramiento de Tecate (Cuota),02082,MEX-002D,5
76,baja california,Ent. Santa Rosa - Ent. Pachuca,02015,BC-006,4
77,baja california,La Rumorosa - Tecate (Cuota),02011,MEX-002D,9
78,baja california,Libramiento de Ensenada (Cuota), ,MEX-003D,2
79,baja california,Ramal a Aeropuerto de Mexicali,02321,MEX-002,3
80,baja california,Tecate - Tijuana (Cuota),02011,MEX-002D,10
81,baja california,Tecate - El Sauzal,02097,MEX-003,10
82,baja california,Tijuana - Ensenada (Cuota),02100,MEX-001D,48
83,baja california,Tijuana - Ensenada (Libre),02099,MEX-001,19
84,baja california sur,Cd. Insurgentes - La Purísima,03005,BCS-001,7
85,baja california sur,La Paz - Ensenada de Muertos,03103,BCS-246,4
86,baja california sur,Libramiento de Todos Santos, ,MEX-019,2
87,baja california sur,Cabo San Lucas - La Paz,03102,MEX-001,32
88,baja california sur,La Paz - Cd. Insurgentes,03101,MEX-001,24
89,baja california sur,Libramiento de La Paz,03004,BCS,2
90,baja california sur,Ramal a Ejido Ley Federal de Aguas Número Dos,03050,BCS-MEX-001,3
91,baja california sur,Ramal a Bahía de Tortugas,03397,MEX-001-BCS,3
92,baja california sur,Loreto - Santa Rosalía,03393,MEX-001,8
93,baja california sur,Ramal a Ley Federal de Aguas Número Cinco,03407,BCS-MEX-001,4
94,baja california sur,San Pedro - Cabo San Lucas,03003,MEX-019,18
95,baja california sur,Santa Rosalía - Guerrero Negro,03095,MEX-001,16
96,baja california sur,Ramal a Aeropuerto de La Paz,03396,MEX-001,3
97,baja california sur,Ramal a Benito Juárez,03405,BCS,2
98,baja california sur,Ramal a San Juan de La Costa,03403,BCS-163-MEX-001,3
99,baja california sur,Cd. Constitución - Puerto San Carlos,03231,MEX-001,4
100,baja california sur,Cd. Insurgentes - Loreto,03092,MEX-001,11
101,baja california sur,Libramiento de Cabo San Lucas,03100,MEX-001,4
102,baja california sur,La Paz - Pichilingue,03230,MEX-011,4
103,baja california sur,Ramal a Miraflores,03407,MEX-001,3
104,baja california sur,Libramiento San José del Cabo - Aeropuerto Los Cabos (Cuota),03392,MEX-001D,6
105,baja california sur,Ramal a Santa Catarina,03052,BCS,2
106,baja california sur,Ramal a Los Paredones,03407,MEX-001,2
107,baja california sur,Ramal a Ejido Ley Federal de Aguas Número Cuatro,03007,BCS,2
108,baja california sur,Ent. Campo Fisher - Punta Abreojos,03411,BCS,2
109,baja california sur,Cd. Insurgentes - Pto. Adolfo López Mateos,03404,BCS,2
110,baja california sur,Libramiento Norte de La Paz,03006,BCS,4
111,baja california sur,Ramal a El Carrizal,03050,BCS,2
112,baja california sur,Ramal a Aeropuerto de Los Cabos,03394,MEX-001,2
113,baja california sur,Ramal a El Mangle (Cuota), ,MEX-001D,2
114,baja california sur,Ramal a Santiago,03051,MEX-001,3
115,baja california sur,Ramal Aeropista San Ignacio,03053,MEX-001,2
116,baja california sur,San José del Cabo - Libramiento de Cabo San Lucas - (Cuota), ,MEX-001D,2
117,baja california sur,Ramal a Melitón Albáñez,03407,BCS,2
118,baja california sur,Ramal a Guerrero Negro,03395,BCS,2
119,baja california sur,Ramal a La Ribera,03406,BCS,2
120,baja california sur,Ramal a Puerto Escondido,03407,MEX-001,2
121,baja california sur,Ramal a San Ignacio,03413,MEX-001,2
122,campeche,Campeche - Tixmucuy,04575,MEX-180,6
123,campeche,San Marcos - Palizada,00490,MEX-186,5
124,campeche,Champotón - Campeche (Cuota),04014,MEX-180D,8
125,campeche,Campeche - Mérida,00066,MEX-180,51
126,campeche,Campeche - Umán,00164,MEX-261,17
127,campeche,Cd. del Carmen - Campeche,04065,MEX-180,19
128,campeche,Ramal a Ruíz Cortines,04101,MEX-180,3
129,campeche,T. C. (Francisco Escárcega - Champotón) - Yohaltún,04581,CAM,4
130,campeche,Dzitbalché - Ent. San Bernardo,00162,MEX-180,8
131,campeche,Francisco Escárcega - Chetumal,00093,MEX-186-307,23
132,campeche,Francisco Escárcega - Champotón,04103,MEX-201,4
133,campeche,Libramiento de Pomuch,04579,CAM,3
134,campeche,Chencoyi - Tenabo,04576,MEX-180,2
135,campeche,Hopelchén - Dzibalchén,04572,CAM-261,2
136,campeche,Haltunchén - San Antonio Cayal,04009,MEX-180,6
137,campeche,Periférico Pablo García y Montilla (Libramiento de Campeche),04573,MEX-202,10
138,campeche,Presidente Díaz Ordaz - Sabancuy,04570,MEX-186,3
139,campeche,Ramal a Nuevo Coahuila,04015,MEX-186,6
140,campeche,Libramiento de Becal,04010,CAM,2
141,campeche,Villahermosa - Cd. del Carmen,00064,MEX-180,28
142,campeche,Villahermosa - Francisco Escárcega,00092,MEX-186-307,42
143,chiapas,Arriaga - Ocozocoautla (Cuota),00092,MEX-200D ,11
144,chiapas,Benemérito de Las Américas - Palenque,07095,MEX-307,5
145,chiapas,Ent. Suschilá - Comitán,00061,CHIS-TAB,12
146,chiapas,Catazajá - T. C. (Tuxtla Gtz. - Cd. Cuauhtémoc),07582,MEX-199-307,16
147,chiapas,Chiapa de Corzo - Amatenango del Valle,07024,CHIS,9
148,chiapas,Huixtla - El Jocote,07577,MEX-211,8
149,chiapas,El Suspiro - Tenosique,00276,MEX-203,9
150,chiapas,Las Limas - La Concordia,07028,CHIS,3
151,chiapas,Libramiento de Arriaga, ,MEX-200,4
152,chiapas,Ent. Emiliano Zapata - La Libertad,00062,CHIS-TAB,3
153,chiapas,Las Choapas - Ocozocoautla (Cuota),00077,MEX-187D,15
154,chiapas,Libramiento Sur de Tuxtla Gutierrez (Dr. Manuel Velasco), ,MEX,4
155,chiapas,Ocozocoautla - Revolución Mexicana,07571,CHIS-053-230,8
156,chiapas,Libramiento de Huixtla, ,MEX-200,7
157,chiapas,Las Cruces - Arriaga,07196,MEX-190,3
158,chiapas,Ramal a Cd. Hidalgo,07274,MEX-200,6
159,chiapas,Ramal a Paredón,07269,MEX-200,2
160,chiapas,Ramal a Puerto Arista,07270,MEX-200,3
161,chiapas,San Francisco Pujiltic - Ent. Comitán,07093,CHIS,2
162,chiapas,Puerto Caté - San Cristóbal de Las Casas,07097,CHIS,4
163,chiapas,La Trinitaria - Benemérito de Las Américas,07267,MEX-307,9
164,chiapas,Malpaso - El Bellote,00137,MEX-187,26
165,chiapas,Paso de Cunduacán - Estación Juárez,00588,TAB-CHIS,4
166,chiapas,Ocosingo - Comitán,07092,CHIS,5
167,chiapas,Ramal a La Gloria,07091,MEX-200,2
168,chiapas,Gregorio Méndez Magaña - Reforma de Ocampo,00103,CHIS,4
169,chiapas,Ent. Jaritas - Ciudad Hidalgo,07094,MEX-225,3
170,chiapas,Independencia - Buenos Aires,07098,CHIS,3
171,chiapas,Estación Palenque - La Libertad,07002,CHIS-010,2
172,chiapas,Libramiento de Ocozocoautla,07583,MEX-190,5
173,chiapas,"Ramal Zona Arqueológica "" Palenque """,07099,CHIS,2
174,chiapas,Ramal a Unión Juárez,07273,MEX-200,3
175,chiapas,Libramiento Sur de Tuxtla Gutiérrez,07578,CHIS,4
176,chiapas,Libramiento de Ciudad Hidalgo Chis., ,MEX-225,2
177,chiapas,Ocozocoautla - Ent. El Sabino,07579,MEX-190,3
178,chiapas,Ramal a Salto del Agua,00069,TAB-CHIS,3
179,chiapas,"Ramal Zona Arqueológica "" Bonampak """,07100,CHIS,2
180,chiapas,Ramal a Huehuetán,07360,CHIS,3
181,chiapas,Tapachula - Nueva Alemania,07581,CHIS-229,2
182,chiapas,Ramal a Mazatán,07560,CHIS-219,3
183,chiapas,Tapachula - Puerto Madero,07018,MEX-225,5
184,chiapas,Tapanatepec - Talismán,00075,MEX-200,74
185,chiapas,Tapanatepec - Tuxtla Gutiérrez,00060,MEX-190,23
186,chiapas,Temo - Tila,07090,CHIS,3
187,chiapas,Terán - Chicoasén,07072,MEX-190,3
188,chiapas,Tierra y Libertad - Ent. Dr. Domingo Chanona,07096,CHIS,2
189,chiapas,Tuxtla Gutiérrez - Angostura,07584,MEX-190,4
190,chiapas,Tuxtla Gutiérrez - Cd. Cuauhtémoc,07061,MEX-190,24
191,chiapas,Tuxtla Gutiérrez - Portillo Zaragoza,07574,CHIS-133,5
192,chiapas,Tuxtla Gutiérrez - San Cristóbal de Las Casas (Cuota),07580,MEX-190D,4
193,chiapas,Villahermosa - Francisco Escárcega,00092,MEX-186-307,42
194,chiapas,Villahermosa - Escopetazo,00104,MEX-195,23
195,chiapas,Zapatero - T. C. (Jalapa - Jonuta),00061,CHIS-TAB,3
196,chihuahua,Cuauhtémoc - Buenaventura,08015,CHIH,8
197,chihuahua,Chihuahua - Madera,08038,CHIH-D-MEX-001-CHIH,21
198,chihuahua,Delicias - Saucillo,08007,CHIH-007,3
199,chihuahua,Camargo - Delicias (Cuota),08418,MEX-045D,15
200,chihuahua,El Sueco - Janos,08037,MEX-010,7
201,chihuahua,Chihuahua - Sacramento (Cuota),08015,MEX-045D,7
202,chihuahua,Cd. Juárez - Janos,08041,MEX-002,6
203,chihuahua,Hidalgo del Parral - Guadalupe y Calvo,00802,MEX-024,8
204,chihuahua,Chihuahua - Ojinaga,08042,MEX-016,11
205,chihuahua,Chihuahua - El Sueco,08419,MEX-045,12
206,chihuahua,Delicias - Chihuahua (Libre),08418,MEX-045,16
207,chihuahua,El Sueco - Villa Ahumada (Cuota),08420,MEX-045D,5
208,chihuahua,Ent. Nuevo Palomas - Hidalgo del Parral (Vía Corta),08811,MEX-024,4
209,chihuahua,Gómez Palacio - Corralitos (Cuota),00016,MEX-049D,18
210,chihuahua,Ent. Puerto Justo - Ent. Guachochic,08044,CHIH,2
211,chihuahua,Hidalgo del Parral - Jiménez,08444,MEX-045,4
212,chihuahua,Meoqui - Julimes,08005,CHIH-005,4
213,chihuahua,Libramiento de Hidalgo del Parral,08221,CHIH,4
214,chihuahua,Ramal a Palomas,08019,MEX-002,3
215,chihuahua,Porvenir - Cd. Juárez,302,MEX-002,7
216,chihuahua,Ramal a San Pedro Creel,08812,CHIH-025,3
217,chihuahua,Ramal a Aeropuerto de Chihuahua,08421,MEX-016,3
218,chihuahua,Ricardo Flores Magón - Galeana (Cuota),08019,CHIH-D,2
219,chihuahua,Samachique - Batopilas, ,CHIH,2
220,chihuahua,T. C. (Camargo - Jiménez) - Ojinaga,08009,CHIH-018,6
221,chihuahua,T. C. (Chihuahua - Ojinaga) - La Mula (Cuota),08170,CHIH-D,2
222,chihuahua,Ahumada - Ricardo Flores Magón,08804,CHIH,2
223,chihuahua,Camargo - Jiménez,08021,CHIH-049,3
224,chihuahua,Ent. Ciudad Camargo - Saucillo,08417,MEX-045,3
225,chihuahua,Libramiento de Delicias - Meoqui,08813,MEX-045,10
226,chihuahua,Ent. Agua Caliente - El Terrero,08170,CHIH-MEX,3
227,chihuahua,Jiménez - Camargo (Cuota),08418,MEX-045D,8
228,chihuahua,La Junta - Lim. Edos. Term. Chih. Ppia. Son (Yécora),00065,MEX-016,5
229,chihuahua,Jerónimo - Sta. Teresa,08043,MEX-002,2
230,chihuahua,Libramiento Oriente Chihuahua (Cuota), ,MEX-045D,6
231,chihuahua,Gómez Palacio - Jiménez,00006,MEX-049,19
232,chihuahua,Ent. La Zarca - Hidalgo del Parral,00488,MEX-045,9
233,chihuahua,Ent. El Álamo - Ent. Ricardo Flores Magón (Cuota),08046,CHIH-D,2
234,chihuahua,Libramiento de Jiménez,08047,CHIH,4
235,chihuahua,Janos - Agua Prieta,00220,MEX-002,5
236,chihuahua,Lázaro Cárdenas - Ent. Colonia San José,08004,CHIH-004,3
237,chihuahua,San Pedro Creel - Guachochi, ,CHIH-025,4
238,chihuahua,Ent. Peña Blanca - Ent. La Concha,08493,CHIH,2
239,chihuahua,Samalayuca - San Jerónimo (Cuota),08019,CHIH-D,2
240,chihuahua,San Juanito - Ent. Basaseachi,08045,CHIH,2
241,chihuahua,T. Julimes - La Boquilla,08009,CHIH-018,2
242,chihuahua,Villa Ahumada - Cd. Juárez (Libre),08420,MEX-045,9
243,coahuila,Cuatro Ciénegas - Ocampo,05026,COA-048,2
244,coahuila,Ent. Paila - Parras de La Fuente,05014,COA-102,3
245,coahuila,Libramiento Allende - Nava,05518,MEX-057,6
246,coahuila,Monclova - Piedras Negras,05407,MEX-057,32
247,coahuila,Nuevo Laredo - Piedras Negras,00503,MEX-002,13
248,coahuila,Monclova - San Pedro de Las Colonias,05062,MEX-030,14
249,coahuila,Puerto México - La Carbonera (Cuota),00115,MEX-057D,14
250,coahuila,Libramiento de Torreón-Gómez Palacio-Lerdo,05516,COA-DGO-MEX-040-049,8
251,coahuila,Libramiento Norte de Torreón (Cuota), ,MEX-040D,5
252,coahuila,Saltillo - Monclova,05406,MEX-057,22
253,coahuila,Saltillo - Torreón,05086,MEX-040,25
254,coahuila,San Buenaventura - Estación Hermanas,05004,COA-034,5
255,coahuila,Saltillo - Arteaga,05008,COA-106,9
256,coahuila,Saltillo - Monterrey,00087,MEX-040,18
257,coahuila,Morelos - Cd. Acuña,05029,MEX-029,9
258,coahuila,Saltillo - Torreón (Cuota) T2, ,MEX-040D,8
259,coahuila,T. C. (Ent. Morelos - Saltillo) - Parras de La Fuente,05510,COA-105,5
260,coahuila,Allende - Villa Unión,05001,COA-015,2
261,coahuila,Ent. La Cuchilla - San Pedro de las Colonias,05021,MEX-040,5
262,coahuila,Durango - Torreón,10085,MEX-040,36
263,coahuila,Ent. Bella Unión - Saltillo,05003,MEX-057,5
264,coahuila,Ent. Morelos - Saltillo,00149,MEX-054,32
265,coahuila,Corredor Libramiento de San Pedro,05023,COA-087,2
266,coahuila,Libramiento de Matamoros,05032,COA,5
267,coahuila,Piedras Negras - Cd. Acuña,05061,MEX-002,3
268,coahuila,Morelos - Ent. Las Corrientes,05500,COA-010,3
269,coahuila,Nueva Rosita - Ent. Allende (Cuota),05502,MEX-057D,4
270,coahuila,Puerto de Flores - El Hondable,05512,COA-112,3
271,coahuila,Puerto México - La Encantada,05002,MEX-057,4
272,coahuila,Nueva Rosita - Boquillas del Carmen,05028,MEX-053,10
273,coahuila,Cd. Acuña - Presa de La Amistad,05085,MEX-002,5
274,coahuila,Emiliano Zapata - Viesca,05521,COA-082,2
275,coahuila,Libramiento de Saltillo J.L.P.,05031,COA,5
276,coahuila,Libramiento Oriente de Saltillo (Cuota),00115,MEX-057D,6
277,coahuila,El Sauz - Palau,05060,COA-022,6
278,coahuila,Ent. La Rosa - General Cepeda,05034,COA-034,2
279,coahuila,Matamoros - La Unión,05023,COA-070,8
280,coahuila,Matamoros - El Fresno,05023,COA-078,2
281,coahuila,Gregorio García - Francisco I. Madero,00110,MEX-040,3
282,coahuila,Ramal a Lamadrid,05522,COA-042,2
283,coahuila,Ramal a Hipólito,05509,COA-114,2
284,coahuila,Libramiento Norponiente de Saltillo (Cuota),05022,MEX-054D,6
285,coahuila,Ojo Caliente - Santa Cruz,05007,MEX-057,2
286,coahuila,Monterrey - Castaños,00128,MEX-053,13
287,coahuila,Sabinas - Don Martín,05501,COA-025,4
288,coahuila,Monclova - Estación Candela,00501,COA-030-NL,5
289,coahuila,Saltillo - Torreón (Cuota) T1, ,MEX-040D,5
290,coahuila,Saltillo - Monterrey (Cuota),00087,MEX-040D,8
